threads,time_ms
1 , 234.252
2 , 124.135
3 , 85.4756
4 , 69.4222
5 , 57.6645
6 , 50.5157
7 , 43.9174
8 , 39.041
9 , 36.1857
10 , 32.4511
11 , 30.0024
12 , 35.9663
