threads,time_ms
1 , 271.632
2 , 140.543
3 , 96.9559
4 , 79.2588
5 , 66.5505
6 , 56.4083
7 , 49.9921
8 , 44.3319
9 , 39.3673
10 , 37.4603
11 , 34.8052
12 , 36.7422
