data_count,time_ms
1000 , 2.74469
2000 , 10.6631
3000 , 21.7746
4000 , 37.8393
5000 , 58.0733
6000 , 85.8649
7000 , 116.394
8000 , 153.031
9000 , 190.886
10000 , 236.376
11000 , 285.583
12000 , 341.054
13000 , 400.104
14000 , 458.056
15000 , 526.393
16000 , 597.994
17000 , 674.347
18000 , 765.829
19000 , 853.124
20000 , 939.647
21000 , 1038.04
22000 , 1136.77
23000 , 1239.35
24000 , 1366.03
25000 , 1491.4
26000 , 1608
27000 , 1721.44
28000 , 1853.6
29000 , 1971.91
30000 , 2116.65
