threads,time_ms
1 , 240.158
2 , 122
3 , 88.3715
4 , 68.0934
5 , 57.2283
6 , 50.1845
7 , 44.2476
8 , 39.3141
9 , 35.209
10 , 33.3616
11 , 32.1925
12 , 31.8265
